x y No
32.81 57.89 1.0
32.81 54.55 1.0
32.81 49.89 1.0
32.81 46.16 1.0
32.81 43.4 1.0
32.81 39.49 1.0
32.81 36.53 1.0
32.81 32.62 1.0
2.67 58.37 2.0
6.48 58.37 2.0
9.35 58.37 2.0
13.54 58.37 2.0
15.83 58.37 2.0
20.22 58.37 2.0
0.0 55.79 3.0
0.0 53.88 3.0
0.0 50.45 3.0
0.0 47.31 3.0
0.0 43.78 3.0
0.0 40.92 3.0
0.0 36.43 3.0
0.0 33.57 3.0
0.0 29.19 3.0
0.0 27.28 3.0
3.53 24.32 4.0
3.53 20.87 4.0
3.53 19.46 4.0
3.53 17.77 4.0
3.53 15.17 4.0
3.53 11.92 4.0
3.53 8.11 4.0
3.53 5.34 4.0
5.44 0.0 5.0
6.87 0.0 5.0
11.25 0.0 5.0
14.02 0.0 5.0
17.93 0.0 5.0
20.6 0.0 5.0
24.41 0.0 5.0
27.18 0.0 5.0
31.09 0.0 5.0
34.05 0.0 5.0
37.86 0.0 5.0
40.72 0.0 5.0
44.82 0.0 5.0
47.49 0.0 5.0
51.31 0.0 5.0
54.46 0.0 5.0
59.51 0.0 5.0
63.52 0.0 5.0
68.38 6.58 6.0
68.38 4.49 6.0
68.38 19.55 6.0
68.38 16.69 6.0
68.38 12.69 6.0
68.38 9.54 6.0
43.97 25.56 7.0
47.97 25.56 7.0
50.74 25.56 7.0
54.84 25.56 7.0
57.41 25.56 7.0
61.51 25.56 7.0
65.01 25.56 7.0
68.19 25.56 7.0
