seed,drone_id,time,waypoint_seq,waypoint_id,waypoint_location,monitor_area,task
0,0,39.8,1,384,"[66.6, 30.56, 2.0]",[28],"{'df3', 'dw', 'df', 'dh'}"
0,0,45.8,2,380,"[66.6, 30.56, 5.0]",[60],"{'dw', 'df', 'dh'}"
0,0,51.8,3,376,"[66.6, 30.56, 8.0]",[92],"{'dw', 'df', 'dh'}"
0,0,57.8,4,372,"[66.6, 30.56, 11.0]",[124],"{'dw', 'df', 'dh'}"
0,0,65.17999999999999,5,371,"[59.46, 30.56, 11.0]",[125],"{'dw', 'df', 'dh'}"
0,0,71.17999999999999,6,375,"[59.46, 30.56, 8.0]",[93],"{'dw', 'df', 'dh'}"
0,0,77.17999999999999,7,379,"[59.46, 30.56, 5.0]",[61],"{'dw', 'df', 'dh'}"
0,0,83.17999999999999,8,383,"[59.46, 30.56, 2.0]",[29],"{'dw', 'df', 'dh'}"
0,0,90.39999999999999,9,382,"[52.79, 30.56, 2.0]",[30],"{'dw', 'df', 'dh'}"
0,0,96.39999999999999,10,378,"[52.79, 30.56, 5.0]",[62],"{'dw', 'df', 'dh'}"
0,0,102.39999999999999,11,374,"[52.79, 30.56, 8.0]",[94],"{'dw', 'df', 'dh'}"
0,0,108.39999999999999,12,370,"[52.79, 30.56, 11.0]",[126],"{'dw', 'df', 'dh'}"
0,0,122.24,13,327,"[73.38, 18.12, 11.0]",[123],"{'dw', 'df', 'dh'}"
0,0,128.24,14,330,"[73.38, 18.12, 8.0]",[91],"{'dw', 'df', 'dh'}"
0,0,134.24,15,333,"[73.38, 18.12, 5.0]",[59],"{'dw', 'df', 'dh'}"
0,0,140.24,16,336,"[73.38, 18.12, 2.0]",[27],"{'dw', 'df', 'dh'}"
0,0,147.58,17,335,"[73.38, 11.11, 2.0]",[26],"{'dw', 'df', 'dh'}"
0,0,153.58,18,332,"[73.38, 11.11, 5.0]",[58],"{'dw', 'df', 'dh'}"
0,0,159.58,19,329,"[73.38, 11.11, 8.0]",[90],"{'dw', 'df', 'dh'}"
0,0,165.58,20,326,"[73.38, 11.11, 11.0]",[122],"{'dw', 'df', 'dh'}"
0,0,174.11,21,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,183.52,22,323,"[73.38, 11.11, 14.0]",[154],{'dh'}
0,0,190.86,23,324,"[73.38, 18.12, 14.0]",[155],{'dh'}
0,0,200.60000000000002,24,368,"[66.6, 30.56, 14.0]",[156],{'dh'}
0,0,207.98000000000002,25,367,"[59.46, 30.56, 14.0]",[157],{'dh'}
0,0,215.20000000000002,26,366,"[52.79, 30.56, 14.0]",[158],{'dh'}
0,0,233.67000000000002,27,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,242.20000000000002,28,326,"[73.38, 11.11, 11.0]",[122],"{'dw', 'df', 'dh'}"
0,0,250.73000000000002,29,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,253.73000000000002,30,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,256.73,31,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,259.73,32,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,262.73,33,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,265.73,34,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,268.73,35,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,271.73,36,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,274.73,37,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,277.73,38,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,280.73,39,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,283.73,40,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,286.73,41,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,289.73,42,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,292.73,43,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,295.73,44,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,298.73,45,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,0,301.73,46,334,"[73.38, 5.54, 2.0]",[25],"{'dw', 'df', 'dh'}"
0,1,17.44,1,160,"[-1.47, 6.72, 26.0]",[271],"{'dw', 'df', 'dh'}"
0,1,23.44,2,156,"[-1.47, 6.72, 29.0]",[303],"{'dw', 'df', 'dh'}"
0,1,29.44,3,152,"[-1.47, 6.72, 32.0]",[335],"{'dw', 'df', 'dh'}"
0,1,35.44,4,148,"[-1.47, 6.72, 35.0]",[367],"{'dw', 'df', 'dh'}"
0,1,42.709999999999994,5,147,"[-1.47, 13.54, 35.0]",[366],"{'dw', 'df', 'dh'}"
0,1,48.709999999999994,6,151,"[-1.47, 13.54, 32.0]",[334],"{'dw', 'df', 'dh'}"
0,1,54.709999999999994,7,155,"[-1.47, 13.54, 29.0]",[302],"{'dw', 'df', 'dh'}"
0,1,60.709999999999994,8,159,"[-1.47, 13.54, 26.0]",[270],"{'dw', 'df', 'dh'}"
0,1,67.39999999999999,9,158,"[-1.47, 18.62, 26.0]",[269],"{'dw', 'df', 'dh'}"
0,1,73.39999999999999,10,154,"[-1.47, 18.62, 29.0]",[301],"{'dw', 'df', 'dh'}"
0,1,79.39999999999999,11,150,"[-1.47, 18.62, 32.0]",[333],"{'dw', 'df', 'dh'}"
0,1,85.39999999999999,12,146,"[-1.47, 18.62, 35.0]",[365],"{'dw', 'df', 'dh'}"
0,1,91.72999999999999,13,145,"[-1.47, 22.6, 35.0]",[364],"{'dw', 'df', 'dh'}"
0,1,97.72999999999999,14,149,"[-1.47, 22.6, 32.0]",[332],"{'dw', 'df', 'dh'}"
0,1,103.72999999999999,15,153,"[-1.47, 22.6, 29.0]",[300],"{'dw', 'df', 'dh'}"
0,1,109.72999999999999,16,157,"[-1.47, 22.6, 26.0]",[268],"{'dw', 'df', 'dh'}"
0,1,116.94999999999999,17,104,"[-5.0, 28.24, 26.0]",[267],"{'dw', 'df', 'dh'}"
0,1,122.94999999999999,18,99,"[-5.0, 28.24, 29.0]",[299],"{'dw', 'df', 'dh'}"
0,1,128.95,19,94,"[-5.0, 28.24, 32.0]",[331],"{'dw', 'df', 'dh'}"
0,1,134.95,20,89,"[-5.0, 28.24, 35.0]",[363],"{'dw', 'df', 'dh'}"
0,1,142.2,21,88,"[-5.0, 35.0, 35.0]",[362],"{'dw', 'df', 'dh'}"
0,1,148.2,22,93,"[-5.0, 35.0, 32.0]",[330],"{'dw', 'df', 'dh'}"
0,1,154.2,23,98,"[-5.0, 35.0, 29.0]",[298],"{'dw', 'df', 'dh'}"
0,1,160.2,24,103,"[-5.0, 35.0, 26.0]",[266],"{'dw', 'df', 'dh'}"
0,1,167.64999999999998,25,102,"[-5.0, 42.35, 26.0]",[265],"{'dw', 'df', 'dh'}"
0,1,173.64999999999998,26,97,"[-5.0, 42.35, 29.0]",[297],"{'dw', 'df', 'dh'}"
0,1,179.64999999999998,27,92,"[-5.0, 42.35, 32.0]",[329],"{'dw', 'df', 'dh'}"
0,1,185.64999999999998,28,87,"[-5.0, 42.35, 35.0]",[361],"{'dw', 'df', 'dh'}"
0,1,194.64999999999998,29,107,"[-5.0, 42.35, 23.0]",[233],{'dw'}
0,1,202.09999999999997,30,108,"[-5.0, 35.0, 23.0]",[234],{'dw'}
0,1,209.34999999999997,31,109,"[-5.0, 28.24, 23.0]",[235],{'dw'}
0,1,216.56999999999996,32,161,"[-1.47, 22.6, 23.0]",[236],{'dw'}
0,1,222.89999999999998,33,162,"[-1.47, 18.62, 23.0]",[237],{'dw'}
0,1,229.58999999999997,34,163,"[-1.47, 13.54, 23.0]",[238],{'dw'}
0,1,236.85999999999999,35,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,239.85999999999999,36,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,242.85999999999999,37,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,245.85999999999999,38,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,248.85999999999999,39,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,251.85999999999999,40,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,254.85999999999999,41,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,257.86,42,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,260.86,43,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,263.86,44,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,266.86,45,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,269.86,46,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,272.86,47,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,275.86,48,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,278.86,49,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,281.86,50,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,284.86,51,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,287.86,52,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,290.86,53,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
0,1,293.86,54,164,"[-1.47, 6.72, 23.0]",[239],{'dw'}
