v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
5.44 0.0 1.1 5.44 0.0 2.9 6.87 0.0 1.1 6.87 0.0 2.9 5 y 0.0 270 1
5.44 0.0 4.1 5.44 0.0 5.9 6.87 0.0 4.1 6.87 0.0 5.9 5 y 0.0 270 2
5.44 0.0 7.1 5.44 0.0 8.9 6.87 0.0 7.1 6.87 0.0 8.9 5 y 0.0 270 3
5.44 0.0 10.1 5.44 0.0 11.9 6.87 0.0 10.1 6.87 0.0 11.9 5 y 0.0 270 4
5.44 0.0 13.1 5.44 0.0 14.9 6.87 0.0 13.1 6.87 0.0 14.9 5 y 0.0 270 5
5.44 0.0 16.1 5.44 0.0 17.9 6.87 0.0 16.1 6.87 0.0 17.9 5 y 0.0 270 6
5.44 0.0 19.1 5.44 0.0 20.9 6.87 0.0 19.1 6.87 0.0 20.9 5 y 0.0 270 7
5.44 0.0 22.1 5.44 0.0 23.9 6.87 0.0 22.1 6.87 0.0 23.9 5 y 0.0 270 8
5.44 0.0 25.1 5.44 0.0 26.9 6.87 0.0 25.1 6.87 0.0 26.9 5 y 0.0 270 9
5.44 0.0 28.1 5.44 0.0 29.9 6.87 0.0 28.1 6.87 0.0 29.9 5 y 0.0 270 10
5.44 0.0 31.1 5.44 0.0 32.9 6.87 0.0 31.1 6.87 0.0 32.9 5 y 0.0 270 11
5.44 0.0 34.1 5.44 0.0 35.9 6.87 0.0 34.1 6.87 0.0 35.9 5 y 0.0 270 12
11.25 0.0 1.1 11.25 0.0 2.9 14.02 0.0 1.1 14.02 0.0 2.9 5 y 0.0 270 1
11.25 0.0 4.1 11.25 0.0 5.9 14.02 0.0 4.1 14.02 0.0 5.9 5 y 0.0 270 2
11.25 0.0 7.1 11.25 0.0 8.9 14.02 0.0 7.1 14.02 0.0 8.9 5 y 0.0 270 3
11.25 0.0 10.1 11.25 0.0 11.9 14.02 0.0 10.1 14.02 0.0 11.9 5 y 0.0 270 4
11.25 0.0 13.1 11.25 0.0 14.9 14.02 0.0 13.1 14.02 0.0 14.9 5 y 0.0 270 5
11.25 0.0 16.1 11.25 0.0 17.9 14.02 0.0 16.1 14.02 0.0 17.9 5 y 0.0 270 6
11.25 0.0 19.1 11.25 0.0 20.9 14.02 0.0 19.1 14.02 0.0 20.9 5 y 0.0 270 7
11.25 0.0 22.1 11.25 0.0 23.9 14.02 0.0 22.1 14.02 0.0 23.9 5 y 0.0 270 8
11.25 0.0 25.1 11.25 0.0 26.9 14.02 0.0 25.1 14.02 0.0 26.9 5 y 0.0 270 9
11.25 0.0 28.1 11.25 0.0 29.9 14.02 0.0 28.1 14.02 0.0 29.9 5 y 0.0 270 10
11.25 0.0 31.1 11.25 0.0 32.9 14.02 0.0 31.1 14.02 0.0 32.9 5 y 0.0 270 11
11.25 0.0 34.1 11.25 0.0 35.9 14.02 0.0 34.1 14.02 0.0 35.9 5 y 0.0 270 12
17.93 0.0 1.1 17.93 0.0 2.9 20.6 0.0 1.1 20.6 0.0 2.9 5 y 0.0 270 1
17.93 0.0 4.1 17.93 0.0 5.9 20.6 0.0 4.1 20.6 0.0 5.9 5 y 0.0 270 2
17.93 0.0 7.1 17.93 0.0 8.9 20.6 0.0 7.1 20.6 0.0 8.9 5 y 0.0 270 3
17.93 0.0 10.1 17.93 0.0 11.9 20.6 0.0 10.1 20.6 0.0 11.9 5 y 0.0 270 4
17.93 0.0 13.1 17.93 0.0 14.9 20.6 0.0 13.1 20.6 0.0 14.9 5 y 0.0 270 5
17.93 0.0 16.1 17.93 0.0 17.9 20.6 0.0 16.1 20.6 0.0 17.9 5 y 0.0 270 6
17.93 0.0 19.1 17.93 0.0 20.9 20.6 0.0 19.1 20.6 0.0 20.9 5 y 0.0 270 7
17.93 0.0 22.1 17.93 0.0 23.9 20.6 0.0 22.1 20.6 0.0 23.9 5 y 0.0 270 8
17.93 0.0 25.1 17.93 0.0 26.9 20.6 0.0 25.1 20.6 0.0 26.9 5 y 0.0 270 9
17.93 0.0 28.1 17.93 0.0 29.9 20.6 0.0 28.1 20.6 0.0 29.9 5 y 0.0 270 10
17.93 0.0 31.1 17.93 0.0 32.9 20.6 0.0 31.1 20.6 0.0 32.9 5 y 0.0 270 11
17.93 0.0 34.1 17.93 0.0 35.9 20.6 0.0 34.1 20.6 0.0 35.9 5 y 0.0 270 12
24.41 0.0 1.1 24.41 0.0 2.9 27.18 0.0 1.1 27.18 0.0 2.9 5 y 0.0 270 1
24.41 0.0 4.1 24.41 0.0 5.9 27.18 0.0 4.1 27.18 0.0 5.9 5 y 0.0 270 2
24.41 0.0 7.1 24.41 0.0 8.9 27.18 0.0 7.1 27.18 0.0 8.9 5 y 0.0 270 3
24.41 0.0 10.1 24.41 0.0 11.9 27.18 0.0 10.1 27.18 0.0 11.9 5 y 0.0 270 4
24.41 0.0 13.1 24.41 0.0 14.9 27.18 0.0 13.1 27.18 0.0 14.9 5 y 0.0 270 5
24.41 0.0 16.1 24.41 0.0 17.9 27.18 0.0 16.1 27.18 0.0 17.9 5 y 0.0 270 6
24.41 0.0 19.1 24.41 0.0 20.9 27.18 0.0 19.1 27.18 0.0 20.9 5 y 0.0 270 7
24.41 0.0 22.1 24.41 0.0 23.9 27.18 0.0 22.1 27.18 0.0 23.9 5 y 0.0 270 8
24.41 0.0 25.1 24.41 0.0 26.9 27.18 0.0 25.1 27.18 0.0 26.9 5 y 0.0 270 9
24.41 0.0 28.1 24.41 0.0 29.9 27.18 0.0 28.1 27.18 0.0 29.9 5 y 0.0 270 10
24.41 0.0 31.1 24.41 0.0 32.9 27.18 0.0 31.1 27.18 0.0 32.9 5 y 0.0 270 11
24.41 0.0 34.1 24.41 0.0 35.9 27.18 0.0 34.1 27.18 0.0 35.9 5 y 0.0 270 12
31.09 0.0 1.1 31.09 0.0 2.9 34.05 0.0 1.1 34.05 0.0 2.9 5 y 0.0 270 1
31.09 0.0 4.1 31.09 0.0 5.9 34.05 0.0 4.1 34.05 0.0 5.9 5 y 0.0 270 2
31.09 0.0 7.1 31.09 0.0 8.9 34.05 0.0 7.1 34.05 0.0 8.9 5 y 0.0 270 3
31.09 0.0 10.1 31.09 0.0 11.9 34.05 0.0 10.1 34.05 0.0 11.9 5 y 0.0 270 4
31.09 0.0 13.1 31.09 0.0 14.9 34.05 0.0 13.1 34.05 0.0 14.9 5 y 0.0 270 5
31.09 0.0 16.1 31.09 0.0 17.9 34.05 0.0 16.1 34.05 0.0 17.9 5 y 0.0 270 6
31.09 0.0 19.1 31.09 0.0 20.9 34.05 0.0 19.1 34.05 0.0 20.9 5 y 0.0 270 7
31.09 0.0 22.1 31.09 0.0 23.9 34.05 0.0 22.1 34.05 0.0 23.9 5 y 0.0 270 8
31.09 0.0 25.1 31.09 0.0 26.9 34.05 0.0 25.1 34.05 0.0 26.9 5 y 0.0 270 9
31.09 0.0 28.1 31.09 0.0 29.9 34.05 0.0 28.1 34.05 0.0 29.9 5 y 0.0 270 10
