i j d
0 1 6.86
1 0 6.86
0 2 13.44
2 0 13.44
0 3 21.64
3 0 21.64
0 4 41.6
4 0 41.6
0 5 48.05
5 0 48.05
0 6 54.83
6 0 54.83
0 7 66.37
7 0 66.37
0 8 71.59
8 0 71.59
0 9 77.86
9 0 77.86
0 10 85.07
10 0 85.07
0 11 91.76
11 0 91.76
0 12 97.15
12 0 97.15
0 13 101.13
13 0 101.13
0 14 106.21
14 0 106.21
0 15 113.03
15 0 113.03
0 16 123.6
16 0 123.6
0 17 117.13
17 0 117.13
0 18 110.53
18 0 110.53
0 19 104.01
19 0 104.01
0 20 97.28
20 0 97.28
0 21 90.6
21 0 90.6
0 22 83.81
22 0 83.81
0 23 77.22
23 0 77.22
0 24 69.07
24 0 69.07
0 25 54.08
25 0 54.08
0 26 48.64
26 0 48.64
0 27 42.01
27 0 42.01
0 28 29.07
28 0 29.07
0 29 22.02
29 0 22.02
0 30 15.51
30 0 15.51
0 31 9.1
31 0 9.1
0 32 3.0
32 0 3.0
0 33 7.49
33 0 7.49
0 34 13.77
34 0 13.77
0 35 21.85
35 0 21.85
0 36 41.71
36 0 41.71
0 37 48.14
37 0 48.14
0 38 54.91
38 0 54.91
0 39 66.44
39 0 66.44
0 40 71.65
40 0 71.65
0 41 77.92
41 0 77.92
0 42 85.12
42 0 85.12
0 43 91.81
43 0 91.81
0 44 97.2
44 0 97.2
0 45 101.17
45 0 101.17
0 46 106.25
46 0 106.25
0 47 113.07
47 0 113.07
0 48 123.64
48 0 123.64
0 49 117.17
49 0 117.17
0 50 110.57
50 0 110.57
0 51 104.05
51 0 104.05
0 52 97.33
52 0 97.33
0 53 90.65
53 0 90.65
0 54 83.86
54 0 83.86
0 55 77.28
55 0 77.28
0 56 69.14
56 0 69.14
0 57 54.16
57 0 54.16
0 58 48.73
58 0 48.73
0 59 42.12
59 0 42.12
0 60 29.22
60 0 29.22
0 61 22.22
61 0 22.22
0 62 15.8
62 0 15.8
0 63 9.58
63 0 9.58
0 64 6.0
64 0 6.0
0 65 9.11
65 0 9.11
0 66 14.72
66 0 14.72
0 67 22.46
67 0 22.46
0 68 42.03
68 0 42.03
0 69 48.42
69 0 48.42
0 70 55.16
70 0 55.16
0 71 66.64
71 0 66.64
0 72 71.84
72 0 71.84
0 73 78.09
73 0 78.09
0 74 85.28
74 0 85.28
0 75 91.96
75 0 91.96
0 76 97.34
76 0 97.34
0 77 101.31
77 0 101.31
0 78 106.38
78 0 106.38
0 79 113.19
79 0 113.19
0 80 123.75
80 0 123.75
0 81 117.28
81 0 117.28
0 82 110.69
82 0 110.69
0 83 104.18
83 0 104.18
0 84 97.46
84 0 97.46
0 85 90.8
85 0 90.8
0 86 84.02
86 0 84.02
0 87 77.45
87 0 77.45
0 88 69.33
88 0 69.33
0 89 54.41
89 0 54.41
0 90 49.01
90 0 49.01
0 91 42.44
91 0 42.44
0 92 29.68
92 0 29.68
0 93 22.82
93 0 22.82
0 94 16.63
94 0 16.63
0 95 10.9
95 0 10.9
0 96 9.0
96 0 9.0
0 97 11.32
97 0 11.32
0 98 16.18
98 0 16.18
0 99 23.44
99 0 23.44
0 100 42.56
100 0 42.56
0 101 48.89
101 0 48.89
0 102 55.56
102 0 55.56
0 103 66.98
103 0 66.98
0 104 72.15
104 0 72.15
0 105 78.38
105 0 78.38
0 106 85.54
106 0 85.54
0 107 92.2
107 0 92.2
0 108 97.57
108 0 97.57
0 109 101.53
109 0 101.53
0 110 106.59
110 0 106.59
0 111 113.39
111 0 113.39
0 112 123.93
112 0 123.93
0 113 117.48
113 0 117.48
0 114 110.9
114 0 110.9
0 115 104.4
115 0 104.4
0 116 97.7
116 0 97.7
0 117 91.05
117 0 91.05
0 118 84.29
118 0 84.29
0 119 77.74
119 0 77.74
0 120 69.65
120 0 69.65
0 121 54.82
121 0 54.82
0 122 49.47
122 0 49.47
0 123 42.96
123 0 42.96
0 124 30.43
124 0 30.43
0 125 23.79
125 0 23.79
0 126 17.93
126 0 17.93
0 127 12.8
127 0 12.8
0 128 12.0
128 0 12.0
0 129 13.82
129 0 13.82
0 130 18.02
130 0 18.02
0 131 24.74
131 0 24.74
0 132 43.3
132 0 43.3
0 133 49.53
133 0 49.53
0 134 56.13
134 0 56.13
0 135 67.45
135 0 67.45
0 136 72.59
136 0 72.59
0 137 78.78
137 0 78.78
0 138 85.91
138 0 85.91
0 139 92.54
139 0 92.54
0 140 97.89
140 0 97.89
0 141 101.84
141 0 101.84
0 142 106.89
142 0 106.89
0 143 113.67
143 0 113.67
0 144 124.18
144 0 124.18
0 145 117.74
145 0 117.74
0 146 111.18
146 0 111.18
0 147 104.7
147 0 104.7
0 148 98.02
148 0 98.02
0 149 91.39
149 0 91.39
0 150 84.66
150 0 84.66
0 151 78.15
151 0 78.15
0 152 70.1
152 0 70.1
0 153 55.4
153 0 55.4
0 154 50.1
154 0 50.1
0 155 43.69
155 0 43.69
0 156 31.45
156 0 31.45
0 157 25.08
157 0 25.08
0 158 19.61
158 0 19.61
0 159 15.06
159 0 15.06
0 160 15.0
160 0 15.0
0 161 16.49
161 0 16.49
0 162 20.14
162 0 20.14
0 163 26.33
163 0 26.33
0 164 44.22
164 0 44.22
0 165 50.34
165 0 50.34
0 166 56.84
166 0 56.84
0 167 68.04
167 0 68.04
0 168 73.14
168 0 73.14
0 169 79.29
169 0 79.29
0 170 86.38
170 0 86.38
0 171 92.98
171 0 92.98
0 172 98.3
172 0 98.3
0 173 102.24
173 0 102.24
0 174 107.26
174 0 107.26
0 175 114.02
175 0 114.02
0 176 124.51
176 0 124.51
0 177 118.09
177 0 118.09
0 178 111.54
178 0 111.54
0 179 105.09
179 0 105.09
0 180 98.43
180 0 98.43
0 181 91.83
181 0 91.83
0 182 85.14
182 0 85.14
0 183 78.66
183 0 78.66
0 184 70.68
184 0 70.68
0 185 56.12
185 0 56.12
0 186 50.9
186 0 50.9
0 187 44.61
187 0 44.61
0 188 32.71
188 0 32.71
0 189 26.64
189 0 26.64
0 190 21.58
190 0 21.58
0 191 17.54
191 0 17.54
0 192 18.0
192 0 18.0
0 193 19.26
193 0 19.26
0 194 22.46
194 0 22.46
0 195 28.15
195 0 28.15
0 196 45.33
196 0 45.33
0 197 51.31
197 0 51.31
0 198 57.71
198 0 57.71
0 199 68.77
199 0 68.77
0 200 73.82
200 0 73.82
0 201 79.91
201 0 79.91
0 202 86.95
202 0 86.95
0 203 93.51
203 0 93.51
0 204 98.8
204 0 98.8
0 205 102.72
205 0 102.72
0 206 107.72
206 0 107.72
0 207 114.45
207 0 114.45
0 208 124.9
208 0 124.9
0 209 118.51
209 0 118.51
0 210 111.99
210 0 111.99
0 211 105.56
211 0 105.56
0 212 98.93
212 0 98.93
0 213 92.37
213 0 92.37
0 214 85.72
214 0 85.72
0 215 79.29
215 0 79.29
0 216 71.38
216 0 71.38
0 217 57.0
217 0 57.0
0 218 51.86
218 0 51.86
0 219 45.7
219 0 45.7
0 220 34.19
220 0 34.19
0 221 28.44
221 0 28.44
0 222 23.76
222 0 23.76
0 223 20.17
223 0 20.17
0 224 21.0
224 0 21.0
0 225 22.09
225 0 22.09
0 226 24.93
226 0 24.93
0 227 30.15
227 0 30.15
0 228 46.6
228 0 46.6
0 229 52.44
229 0 52.44
0 230 58.71
230 0 58.71
0 231 69.61
231 0 69.61
0 232 74.61
232 0 74.61
0 233 80.64
233 0 80.64
0 234 87.62
234 0 87.62
0 235 94.13
235 0 94.13
0 236 99.39
236 0 99.39
0 237 103.29
237 0 103.29
0 238 108.27
238 0 108.27
0 239 114.96
239 0 114.96
0 240 125.37
240 0 125.37
0 241 119.0
241 0 119.0
0 242 112.51
242 0 112.51
0 243 106.11
243 0 106.11
0 244 99.52
244 0 99.52
0 245 93.0
245 0 93.0
0 246 86.4
246 0 86.4
0 247 80.02
247 0 80.02
0 248 72.19
248 0 72.19
0 249 58.01
249 0 58.01
0 250 52.98
250 0 52.98
0 251 46.97
251 0 46.97
0 252 35.86
252 0 35.86
0 253 30.43
253 0 30.43
0 254 26.11
254 0 26.11
0 255 22.89
255 0 22.89
0 256 24.0
256 0 24.0
0 257 24.96
257 0 24.96
0 258 27.51
258 0 27.51
0 259 32.32
259 0 32.32
0 260 48.03
260 0 48.03
0 261 53.71
261 0 53.71
0 262 59.85
262 0 59.85
0 263 70.58
263 0 70.58
0 264 75.51
264 0 75.51
0 265 81.48
265 0 81.48
0 266 88.39
266 0 88.39
0 267 94.85
267 0 94.85
0 268 100.07
268 0 100.07
0 269 103.94
269 0 103.94
0 270 108.89
270 0 108.89
0 271 115.55
271 0 115.55
0 272 125.91
272 0 125.91
0 273 119.56
273 0 119.56
0 274 113.11
274 0 113.11
0 275 106.74
275 0 106.74
0 276 100.2
276 0 100.2
0 277 93.72
277 0 93.72
0 278 87.18
278 0 87.18
0 279 80.86
279 0 80.86
0 280 73.12
280 0 73.12
0 281 59.17
281 0 59.17
0 282 54.24
282 0 54.24
0 283 48.38
283 0 48.38
0 284 37.7
284 0 37.7
0 285 32.57
285 0 32.57
0 286 28.58
286 0 28.58
0 287 25.67
287 0 25.67
0 288 27.0
288 0 27.0
0 289 27.86
289 0 27.86
0 290 30.16
290 0 30.16
0 291 34.6
291 0 34.6
0 292 49.59
292 0 49.59
0 293 55.12
293 0 55.12
0 294 61.12
294 0 61.12
0 295 71.65
295 0 71.65
0 296 76.51
296 0 76.51
0 297 82.41
297 0 82.41
0 298 89.25
298 0 89.25
0 299 95.65
299 0 95.65
0 300 100.83
300 0 100.83
0 301 104.67
301 0 104.67
0 302 109.59
302 0 109.59
0 303 116.21
303 0 116.21
0 304 126.51
304 0 126.51
0 305 120.2
305 0 120.2
0 306 113.78
306 0 113.78
0 307 107.46
307 0 107.46
0 308 100.96
308 0 100.96
0 309 94.54
309 0 94.54
0 310 88.05
310 0 88.05
0 311 81.8
311 0 81.8
0 312 74.16
312 0 74.16
0 313 60.45
313 0 60.45
0 314 55.63
314 0 55.63
0 315 49.94
315 0 49.94
0 316 39.67
316 0 39.67
0 317 34.84
317 0 34.84
0 318 31.14
318 0 31.14
0 319 28.49
319 0 28.49
0 320 30.0
320 0 30.0
0 321 30.77
321 0 30.77
0 322 32.87
322 0 32.87
0 323 36.99
323 0 36.99
0 324 51.29
324 0 51.29
0 325 56.65
325 0 56.65
0 326 62.5
326 0 62.5
0 327 72.84
327 0 72.84
0 328 77.62
328 0 77.62
0 329 83.44
329 0 83.44
0 330 90.2
330 0 90.2
0 331 96.54
331 0 96.54
0 332 101.68
332 0 101.68
0 333 105.49
333 0 105.49
0 334 110.37
334 0 110.37
0 335 116.94
335 0 116.94
0 336 127.19
336 0 127.19
0 337 120.91
337 0 120.91
0 338 114.53
338 0 114.53
0 339 108.25
339 0 108.25
0 340 101.8
340 0 101.8
0 341 95.44
341 0 95.44
0 342 89.02
342 0 89.02
0 343 82.84
343 0 82.84
0 344 75.3
344 0 75.3
0 345 61.84
345 0 61.84
0 346 57.15
346 0 57.15
0 347 51.62
347 0 51.62
0 348 41.77
348 0 41.77
0 349 37.21
349 0 37.21
0 350 33.77
350 0 33.77
0 351 31.35
351 0 31.35
0 352 33.0
352 0 33.0
0 353 33.71
353 0 33.71
0 354 35.63
354 0 35.63
0 355 39.46
355 0 39.46
0 356 53.1
356 0 53.1
0 357 58.29
357 0 58.29
0 358 63.99
358 0 63.99
0 359 74.12
359 0 74.12
0 360 78.83
360 0 78.83
