id v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix ang layer
0 32.81 36.53 1.1 32.81 36.53 2.9 32.81 32.62 2.9 32.81 32.62 1.1 1 x 0 1
1 32.81 43.4 1.1 32.81 43.4 2.9 32.81 39.49 2.9 32.81 39.49 1.1 1 x 0 1
2 32.81 49.89 1.1 32.81 49.89 2.9 32.81 46.16 2.9 32.81 46.16 1.1 1 x 0 1
3 32.81 57.89 1.1 32.81 57.89 2.9 32.81 54.55 2.9 32.81 54.55 1.1 1 x 0 1
4 15.83 58.37 1.1 15.83 58.37 2.9 20.22 58.37 2.9 20.22 58.37 1.1 2 y 90 1
5 9.35 58.37 1.1 9.35 58.37 2.9 13.54 58.37 2.9 13.54 58.37 1.1 2 y 90 1
6 2.67 58.37 1.1 2.67 58.37 2.9 6.48 58.37 2.9 6.48 58.37 1.1 2 y 90 1
7 0.0 55.79 1.1 0.0 55.79 2.9 0.0 53.88 2.9 0.0 53.88 1.1 3 x 180 1
8 0.0 50.45 1.1 0.0 50.45 2.9 0.0 47.31 2.9 0.0 47.31 1.1 3 x 180 1
9 0.0 43.78 1.1 0.0 43.78 2.9 0.0 40.92 2.9 0.0 40.92 1.1 3 x 180 1
10 0.0 36.43 1.1 0.0 36.43 2.9 0.0 33.57 2.9 0.0 33.57 1.1 3 x 180 1
11 0.0 29.19 1.1 0.0 29.19 2.9 0.0 27.28 2.9 0.0 27.28 1.1 3 x 180 1
12 3.53 24.32 1.1 3.53 24.32 2.9 3.53 20.87 2.9 3.53 20.87 1.1 4 x 180 1
13 3.53 19.46 1.1 3.53 19.46 2.9 3.53 17.77 2.9 3.53 17.77 1.1 4 x 180 1
14 3.53 15.17 1.1 3.53 15.17 2.9 3.53 11.92 2.9 3.53 11.92 1.1 4 x 180 1
15 3.53 8.11 1.1 3.53 8.11 2.9 3.53 5.34 2.9 3.53 5.34 1.1 4 x 180 1
16 5.44 0.0 1.1 5.44 0.0 2.9 6.87 0.0 2.9 6.87 0.0 1.1 5 y 270 1
17 11.25 0.0 1.1 11.25 0.0 2.9 14.02 0.0 2.9 14.02 0.0 1.1 5 y 270 1
18 17.93 0.0 1.1 17.93 0.0 2.9 20.6 0.0 2.9 20.6 0.0 1.1 5 y 270 1
19 24.41 0.0 1.1 24.41 0.0 2.9 27.18 0.0 2.9 27.18 0.0 1.1 5 y 270 1
20 31.09 0.0 1.1 31.09 0.0 2.9 34.05 0.0 2.9 34.05 0.0 1.1 5 y 270 1
21 37.86 0.0 1.1 37.86 0.0 2.9 40.72 0.0 2.9 40.72 0.0 1.1 5 y 270 1
22 44.82 0.0 1.1 44.82 0.0 2.9 47.49 0.0 2.9 47.49 0.0 1.1 5 y 270 1
23 51.31 0.0 1.1 51.31 0.0 2.9 54.46 0.0 2.9 54.46 0.0 1.1 5 y 270 1
24 59.51 0.0 1.1 59.51 0.0 2.9 63.52 0.0 2.9 63.52 0.0 1.1 5 y 270 1
25 68.38 6.58 1.1 68.38 6.58 2.9 68.38 4.49 2.9 68.38 4.49 1.1 6 x 0 1
26 68.38 12.69 1.1 68.38 12.69 2.9 68.38 9.54 2.9 68.38 9.54 1.1 6 x 0 1
