id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
16 5.44 1.1 5.44 2.9 6.87 2.9 6.87 1.1 5 y 0.0 1 -1
17 11.25 1.1 11.25 2.9 14.02 2.9 14.02 1.1 5 y 0.0 1 -1
18 17.93 1.1 17.93 2.9 20.6 2.9 20.6 1.1 5 y 0.0 1 -1
19 24.41 1.1 24.41 2.9 27.18 2.9 27.18 1.1 5 y 0.0 1 -1
20 31.09 1.1 31.09 2.9 34.05 2.9 34.05 1.1 5 y 0.0 1 -1
21 37.86 1.1 37.86 2.9 40.72 2.9 40.72 1.1 5 y 0.0 1 -1
22 44.82 1.1 44.82 2.9 47.49 2.9 47.49 1.1 5 y 0.0 1 -1
23 51.31 1.1 51.31 2.9 54.46 2.9 54.46 1.1 5 y 0.0 1 -1
24 59.51 1.1 59.51 2.9 63.52 2.9 63.52 1.1 5 y 0.0 1 -1
48 5.44 4.1 5.44 5.9 6.87 5.9 6.87 4.1 5 y 0.0 2 -1
49 11.25 4.1 11.25 5.9 14.02 5.9 14.02 4.1 5 y 0.0 2 -1
50 17.93 4.1 17.93 5.9 20.6 5.9 20.6 4.1 5 y 0.0 2 -1
51 24.41 4.1 24.41 5.9 27.18 5.9 27.18 4.1 5 y 0.0 2 -1
52 31.09 4.1 31.09 5.9 34.05 5.9 34.05 4.1 5 y 0.0 2 -1
53 37.86 4.1 37.86 5.9 40.72 5.9 40.72 4.1 5 y 0.0 2 -1
54 44.82 4.1 44.82 5.9 47.49 5.9 47.49 4.1 5 y 0.0 2 -1
55 51.31 4.1 51.31 5.9 54.46 5.9 54.46 4.1 5 y 0.0 2 -1
56 59.51 4.1 59.51 5.9 63.52 5.9 63.52 4.1 5 y 0.0 2 -1
80 5.44 7.1 5.44 8.9 6.87 8.9 6.87 7.1 5 y 0.0 3 -1
81 11.25 7.1 11.25 8.9 14.02 8.9 14.02 7.1 5 y 0.0 3 -1
