v_1 v_2 v_3 v_4 face fix_aix fix_v angle floor
"[0.5, 1.1]" "[0.5, 2.9]" "[3.84, 1.1]" "[3.84, 2.9]" 1 x 32.81 0 1
"[0.5, 4.1]" "[0.5, 5.9]" "[3.84, 4.1]" "[3.84, 5.9]" 1 x 32.81 0 2
"[0.5, 7.1]" "[0.5, 8.9]" "[3.84, 7.1]" "[3.84, 8.9]" 1 x 32.81 0 3
"[0.5, 10.1]" "[0.5, 11.9]" "[3.84, 10.1]" "[3.84, 11.9]" 1 x 32.81 0 4
"[0.5, 13.1]" "[0.5, 14.9]" "[3.84, 13.1]" "[3.84, 14.9]" 1 x 32.81 0 5
"[0.5, 16.1]" "[0.5, 17.9]" "[3.84, 16.1]" "[3.84, 17.9]" 1 x 32.81 0 6
"[0.5, 19.1]" "[0.5, 20.9]" "[3.84, 19.1]" "[3.84, 20.9]" 1 x 32.81 0 7
"[0.5, 22.1]" "[0.5, 23.9]" "[3.84, 22.1]" "[3.84, 23.9]" 1 x 32.81 0 8
"[0.5, 25.1]" "[0.5, 26.9]" "[3.84, 25.1]" "[3.84, 26.9]" 1 x 32.81 0 9
"[0.5, 28.1]" "[0.5, 29.9]" "[3.84, 28.1]" "[3.84, 29.9]" 1 x 32.81 0 10
"[0.5, 31.1]" "[0.5, 32.9]" "[3.84, 31.1]" "[3.84, 32.9]" 1 x 32.81 0 11
"[0.5, 34.1]" "[0.5, 35.9]" "[3.84, 34.1]" "[3.84, 35.9]" 1 x 32.81 0 12
"[8.5, 1.1]" "[8.5, 2.9]" "[12.23, 1.1]" "[12.23, 2.9]" 1 x 32.81 0 1
"[8.5, 4.1]" "[8.5, 5.9]" "[12.23, 4.1]" "[12.23, 5.9]" 1 x 32.81 0 2
"[8.5, 7.1]" "[8.5, 8.9]" "[12.23, 7.1]" "[12.23, 8.9]" 1 x 32.81 0 3
"[8.5, 10.1]" "[8.5, 11.9]" "[12.23, 10.1]" "[12.23, 11.9]" 1 x 32.81 0 4
"[8.5, 13.1]" "[8.5, 14.9]" "[12.23, 13.1]" "[12.23, 14.9]" 1 x 32.81 0 5
"[8.5, 16.1]" "[8.5, 17.9]" "[12.23, 16.1]" "[12.23, 17.9]" 1 x 32.81 0 6
"[8.5, 19.1]" "[8.5, 20.9]" "[12.23, 19.1]" "[12.23, 20.9]" 1 x 32.81 0 7
"[8.5, 22.1]" "[8.5, 23.9]" "[12.23, 22.1]" "[12.23, 23.9]" 1 x 32.81 0 8
"[8.5, 25.1]" "[8.5, 26.9]" "[12.23, 25.1]" "[12.23, 26.9]" 1 x 32.81 0 9
"[8.5, 28.1]" "[8.5, 29.9]" "[12.23, 28.1]" "[12.23, 29.9]" 1 x 32.81 0 10
"[8.5, 31.1]" "[8.5, 32.9]" "[12.23, 31.1]" "[12.23, 32.9]" 1 x 32.81 0 11
"[8.5, 34.1]" "[8.5, 35.9]" "[12.23, 34.1]" "[12.23, 35.9]" 1 x 32.81 0 12
"[15.0, 1.1]" "[15.0, 2.9]" "[18.91, 1.1]" "[18.91, 2.9]" 1 x 32.81 0 1
"[15.0, 4.1]" "[15.0, 5.9]" "[18.91, 4.1]" "[18.91, 5.9]" 1 x 32.81 0 2
"[15.0, 7.1]" "[15.0, 8.9]" "[18.91, 7.1]" "[18.91, 8.9]" 1 x 32.81 0 3
"[15.0, 10.1]" "[15.0, 11.9]" "[18.91, 10.1]" "[18.91, 11.9]" 1 x 32.81 0 4
"[15.0, 13.1]" "[15.0, 14.9]" "[18.91, 13.1]" "[18.91, 14.9]" 1 x 32.81 0 5
"[15.0, 16.1]" "[15.0, 17.9]" "[18.91, 16.1]" "[18.91, 17.9]" 1 x 32.81 0 6
"[15.0, 19.1]" "[15.0, 20.9]" "[18.91, 19.1]" "[18.91, 20.9]" 1 x 32.81 0 7
"[15.0, 22.1]" "[15.0, 23.9]" "[18.91, 22.1]" "[18.91, 23.9]" 1 x 32.81 0 8
"[15.0, 25.1]" "[15.0, 26.9]" "[18.91, 25.1]" "[18.91, 26.9]" 1 x 32.81 0 9
"[15.0, 28.1]" "[15.0, 29.9]" "[18.91, 28.1]" "[18.91, 29.9]" 1 x 32.81 0 10
"[15.0, 31.1]" "[15.0, 32.9]" "[18.91, 31.1]" "[18.91, 32.9]" 1 x 32.81 0 11
"[15.0, 34.1]" "[15.0, 35.9]" "[18.91, 34.1]" "[18.91, 35.9]" 1 x 32.81 0 12
"[21.87, 1.1]" "[21.87, 2.9]" "[25.78, 1.1]" "[25.78, 2.9]" 1 x 32.81 0 1
"[21.87, 4.1]" "[21.87, 5.9]" "[25.78, 4.1]" "[25.78, 5.9]" 1 x 32.81 0 2
